Latitude - deg,1deg of Latitude (Miles),1deg of Latitude (Feet),1deg of Latitude (Metres),1' of Latitude (Miles),1' of Latitude (Feet),1' of Latitude (Metres),1'' of Latitude (Miles),1'' of Latitude (Feet),1'' of Latitude (Metres)
0,68.707,362774,110574,1.145,6046,1843,0.019,101,31
10,68.728,362885,110608,1.145,6048,1843,0.019,101,31
20,68.789,363204,110705,1.146,6053,1845,0.019,101,31
30,68.811,363691,110854,1.148,6062,1848,0.019,101,31
40,68.994,364290,111036,1.15,6072,1851,0.019,101,31
50,69.115,364927,111230,1.152,6082,1854,0.019,101,31
60,69.228,365525,111413,1.154,6092,1857,0.019,102,31
70,69.321,366013,111561,1.155,6100,1859,0.019,102,31
80,69.381,366332,111658,1.156,6106,1861,0.019,102,31
90,69.402,366442,111692,1.157,6107,1862,0.019,102,31
