Latitude - deg,1deg of Longitude (Miles),1deg of Longitude (Feet),1deg of Longitude (Metres),1' of Longitude (Miles),1' of Longitude (Feet),1' of Longitude (Metres),1'' of Longitude (Miles),1'' of Longitude (Feet),1'' of Longitude (Metres)
0,69.17,365219,111319,1.153,6087,1855,0.019,101,31
10,68.126,359707,109639,1.135,5995,1827,0.019,100,30
20,65.024,343329,104647,1.084,5722,1744,0.018,95,29
30,59.954,316556,96486,0.999,5276,1608,0.017,88,27
40,53.061,280164,85394,0.884,4669,1423,0.015,78,24
50,44.55,235223,71696,0.742,3920,1195,0.012,65,20
60,34.673,183072,55801,0.578,3051,930,0.01,51,16
70,23.728,125285,38187,0.395,2088,636,0.007,35,11
80,12.051,63627,19394,0.201,1060,323,0.003,18,5
90,0,0,0,0,0,0,0,0,0
